id,nome,bairro,endereco,telefone,site
geo-101ee9c0,Odontoplus,Botafogo,"Odontoplus, Rua Nelson Mandela 100 Loja 104, Botafogo, Rio de Janeiro - RJ, 22260-005, Brazil",,
geo-531fd697,Centro Odontológico São José,Copacabana,"Centro Odontológico São José, Rua Barata Ribeiro 13, Copacabana, Rio de Janeiro - RJ, 22011-001, Brazil",,
geo-2518dd1e,Clínica Odontológica,Barra da Tijuca,"Clínica Odontológica, Avenida das Américas 6700 Bl 2 Sala 211, Barra da Tijuca, Rio de Janeiro - RJ, 22793-911, Brazil",,
geo-64a41e0f,Doutora Ilda Pereira,Jacarepaguá,"Doutora Ilda Pereira, Estrada dos Bandeirantes, Jacarepaguá, Rio de Janeiro - RJ, 22780-085, Brazil",,
geo-8f3da9c1,GS Odontologia,Jacarepaguá,"GS Odontologia, Rua Xavier de Araújo, Jacarepaguá, Rio de Janeiro - RJ, 22780-085, Brazil",,
geo-9dc35652,Dental Consult Saúde e Estética,Centro,"Dental Consult Saúde e Estética, Avenida Henrique Valadares 143 - Sobrado, Centro, Rio de Janeiro - RJ, 20231-031, Brazil",,
geo-830d2fa7,Dentistas,Jacarepaguá,"Dentistas, Rua Iguapé Açú, Jacarepaguá, Rio de Janeiro - RJ, 22780-085, Brazil",,
geo-6f628b9b,Odontosister,Jacarepaguá,"Odontosister, Rua Iguapé Açú, Jacarepaguá, Rio de Janeiro - RJ, 22780-085, Brazil",,
geo-e05fc0bc,Sorriso Odontologia,Barra Olímpica,"Sorriso Odontologia, Rua Bruno Giorgi, Barra Olímpica, Rio de Janeiro - RJ, 22775-040, Brazil",,
geo-8711148c,Arte Dental,Flamengo,"Arte Dental, Rua Marquês de Abrantes, Flamengo, Rio de Janeiro - RJ, 22230-061, Brazil",,
geo-997972f8,Centro Odontológico Laranjeiras - COL,Laranjeiras,"Centro Odontológico Laranjeiras - COL, Rua General Glicério 364B, Laranjeiras, Rio de Janeiro - RJ, 22245-100, Brazil",,
geo-fccb3779,ASFODONTO,Centro,"ASFODONTO, Rua Evaristo da Veiga 35, Centro, Rio de Janeiro - RJ, 20031-040, Brazil",,
geo-fc5944c5,Odonto Company,Tijuca,"Odonto Company, Rua Conde de Bonfim, Tijuca, Rio de Janeiro - RJ, 20530-000, Brazil",,
geo-c0c94474,Meraky,Botafogo,"Meraky, Rua Visconde de Ouro Preto, Botafogo, Rio de Janeiro - RJ, 22250-180, Brazil",,
geo-330b7388,Odonto Company,Curicica,"Odonto Company, Estrada dos Bandeirantes, Curicica, Rio de Janeiro - RJ, 22780-500, Brazil",,
