id,nome,bairro,endereco,telefone,site
geo-78e8bf60,Dry Wash,Barra da Tijuca,"Dry Wash, Avenida das Américas 6700 Bloco 1 Loja 111, Barra da Tijuca, Rio de Janeiro - RJ, 22793-911, Brazil",,
geo-d6ad174e,5àsec,Botafogo,"5àsec, Rua Voluntários da Pátria 410, Botafogo, Rio de Janeiro - RJ, 21050-250, Brazil",,
geo-2317e2f4,Lava Kilo,Ipanema,"Lava Kilo, Rua Garcia d'Ávila 173, Ipanema, Rio de Janeiro - RJ, 22421-010, Brazil",,
geo-26730f16,Lavanderia Atlântica,Botafogo,"Lavanderia Atlântica, Rua Álvaro Ramos 112A, Botafogo, Rio de Janeiro - RJ, 22280-110, Brazil",,
geo-19703e81,Lavi Vila,Vila Isabel,"Lavi Vila, Boulevard 28 de Setembro, Vila Isabel, Rio de Janeiro - RJ, 20551-031, Brazil",,
geo-21cbd8e3,Laundroex,Jacarepaguá,"Laundroex, Estrada dos Bandeirantes 7993, Jacarepaguá, Rio de Janeiro - RJ, 22780-085, Brazil",,
geo-d19cf87b,Tinturaria e lavanderia Vilarinho,Centro,"Tinturaria e lavanderia Vilarinho, Rua Washington Luis 99 - Loja A, Centro, Rio de Janeiro - RJ, 20231-084, Brazil",,
geo-ea65d1de,Tinturaria e lavanderia Relâmpago,Lapa,"Tinturaria e lavanderia Relâmpago, Rua André Cavalcanti 13 - Loja D, Lapa, Rio de Janeiro - RJ, 20231-050, Brazil",,
geo-dea0f951,Lava Roupas Tododia,Barra da Tijuca,"Lava Roupas Tododia, Ala Aruba, Barra da Tijuca, Rio de Janeiro - RJ, 22793-074, Brazil",,
geo-11e15ebe,sauber laundry,Flamengo,"laundry sauber, Rua Machado de Assis, Flamengo, Rio de Janeiro - RJ, 22220-060, Brazil",,
geo-4c5ce3ba,Imperatriz,Flamengo,"Imperatriz, Rua Marquês de Abrantes 110, Flamengo, Rio de Janeiro - RJ, 22230-061, Brazil",,
geo-49e87349,Laundromat,Flamengo,"Laundromat, Rua Marquês de Abrantes 82, Flamengo, Rio de Janeiro - RJ, 22230-061, Brazil",,
geo-cc30aae1,Marques,Flamengo,"Marques, Rua Marquês de Abrantes 213, Flamengo, Rio de Janeiro - RJ, 22230-061, Brazil",,
geo-b9108171,Tinturaria Marcia,Laranjeiras,"Tinturaria Marcia, Rua das Laranjeiras 371C, Laranjeiras, Rio de Janeiro - RJ, 22240-004, Brazil",,
geo-822df023,Top Lav,Botafogo,"Top Lav, Rua Voluntários da Pátria 236 Loja D, Botafogo, Rio de Janeiro - RJ, 22270-014, Brazil",,
geo-2809d45d,Lavô!,Copacabana,"Lavô!, Rua Carvalho de Mendonça, Copacabana, Rio de Janeiro - RJ, 22020-050, Brazil",,
geo-2151262b,Juçara,Grajaú,"Juçara, Avenida Engenheiro Richard 20, Grajaú, Rio de Janeiro - RJ, 20540-341, Brazil",,
geo-f5f35063,Vienense,Humaitá,"Vienense, Rua Humaitá, Humaitá, Rio de Janeiro - RJ, 22261-000, Brazil",,
geo-b58f0e3c,Maria Express,Icaraí,"Maria Express, Rua Ator Paulo Gustavo 126, Icaraí, Niterói - RJ, 24230-063, Brazil",,
geo-38a8a368,Laundromat Integral,Ipanema,"Laundromat Integral, Rua Farme de Amoedo 55, Ipanema, Rio de Janeiro - RJ, 22410-001, Brazil",,
