nome,endereco,telefone,site,tem_site
Barra Baby,"Barra Baby, Avenida das Américas 6700 Bl 2 Sala 212, Barra da Tijuca, Rio de Janeiro - RJ, 22793-911, Brazil",,,Não
Clínica Odontológica,"Clínica Odontológica, Avenida das Américas 6700 Bl 2 Sala 211, Barra da Tijuca, Rio de Janeiro - RJ, 22793-911, Brazil",,,Não
Dr Orlando Silva Telles,"Dr Orlando Silva Telles, Avenida das Américas 6700 Bloco 2 Sala 205, Barra da Tijuca, Rio de Janeiro - RJ, 22793-911, Brazil",,,Não
Dra Elizabeth Maria Ribeiro,"Dra Elizabeth Maria Ribeiro, Avenida das Américas 6700 Bloco 2 Sala 206, Barra da Tijuca, Rio de Janeiro - RJ, 22793-911, Brazil",,,Não
DraTania Koutsoukos DraMarcia Weiland,"DraTania Koutsoukos DraMarcia Weiland, Avenida das Américas 6700 Bloco 2 Sala 208, Barra da Tijuca, Rio de Janeiro - RJ, 22793-911, Brazil",,,Não
Oftalmo Clínica Pinho,"Oftalmo Clínica Pinho, Avenida das Américas 6700 Bloco 2 Sala 207, Barra da Tijuca, Rio de Janeiro - RJ, 22793-911, Brazil",,,Não
Prophylaxis - Clínica de Vacinação,"Prophylaxis - Clínica de Vacinação, Avenida das Américas 6700 Bloco 1 Sala 215, Barra da Tijuca, Rio de Janeiro - RJ, 22793-911, Brazil",,,Não
Dra Roberta de Sá F Leite,"Dra Roberta de Sá F Leite, Avenida das Américas 6700 Bloco 1 Sala 216, Barra da Tijuca, Rio de Janeiro - RJ, 22793-911, Brazil",,,Não
Espaço Pé & Mão,"Espaço Pé & Mão, Acesso às Docas, Barra da Tijuca, Rio de Janeiro - RJ, 22775-003, Brazil",,,Não
Oficina das Unhas,"Oficina das Unhas, Avenida General Felicíssimo Cardoso, Barra da Tijuca, Rio de Janeiro - RJ, 22631-003, Brazil",,,Não
Maison 25,"Maison 25, Avenida Nossa Senhora de Copacabana, Leme, Rio de Janeiro - RJ, 22011-010, Brazil",,,Não
Ambulatório Vera Resende Suassuna,"Ambulatório Vera Resende Suassuna, Praça Euvaldo Lodi, Barra da Tijuca, Rio de Janeiro - RJ, 22640-010, Brazil",,,Não
Duo Capelli,"Duo Capelli, Rua Desembargador João Claudino Oliveira Cruz, Barra da Tijuca, Rio de Janeiro - RJ, 22793-909, Brazil",,,Não
Cia Médica,"Cia Médica, Avenida das Américas 6700, Barra da Tijuca, Rio de Janeiro - RJ, 22793-911, Brazil",,,Não
MG Studio,"MG Studio, Ala Belize, Barra da Tijuca, Rio de Janeiro - RJ, 22793-074, Brazil",,,Não
Clínica do Emagrecimento,"Clínica do Emagrecimento, Ala Antigua, Barra da Tijuca, Rio de Janeiro - RJ, 22793-074, Brazil",,,Não
Rycardo Ximenes Studio,"Rycardo Ximenes Studio, Ala Antigua, Barra da Tijuca, Rio de Janeiro - RJ, 22793-074, Brazil",,,Não
Salão,"Salão, Rua Conselheiro Lafaiete 110, Copacabana, Rio de Janeiro - RJ, 22081-025, Brazil",,,Não
Casa do Médico,"Casa do Médico, Ciclovia Ayrton Senna, Barra da Tijuca, Rio de Janeiro - RJ, 22775-055, Brazil",,,Não
Corpus de Lune,"Corpus de Lune, Avenida das Américas 5001, Barra da Tijuca, Rio de Janeiro - RJ, 22631-004, Brazil",,,Não
Clínica Ortopedista,"Clínica Ortopedista, Avenida das Américas 4801, Barra da Tijuca, Rio de Janeiro - RJ, 22631-004, Brazil",,,Não
Toque Médico,"Toque Médico, Ciclovia Ayrton Senna, Barra da Tijuca, Rio de Janeiro - RJ, 22775-055, Brazil",,,Não
Centro de Tratamento Reumatológico & Esportivo,"Centro de Tratamento Reumatológico & Esportivo, Avenida Embaixador Abelardo Bueno 3500, Barra da Tijuca, Rio de Janeiro - RJ, 22775-060, Brazil",,,Não
Depyl Action,"Depyl Action, Rua Bruno Giorgi, Barra Olímpica, Rio de Janeiro - RJ, 22775-040, Brazil",,,Não
Sorriso Odontologia,"Sorriso Odontologia, Rua Bruno Giorgi, Barra Olímpica, Rio de Janeiro - RJ, 22775-040, Brazil",,,Não
Núcleo Fisionline,"Núcleo Fisionline, Rua Bruno Giorgi, Barra Olímpica, Rio de Janeiro - RJ, 22775-040, Brazil",,,Não
PDC - Saúde,"PDC - Saúde, Ciclovia Avenida Ayrton Senna, Barra da Tijuca, Rio de Janeiro - RJ, 22775-002, Brazil",,,Não
PDC - Saúde,"PDC - Saúde, Ciclovia Avenida Ayrton Senna, Barra da Tijuca, Rio de Janeiro - RJ, 22775-002, Brazil",,,Não
Clínica Felippe Mattoso,"Clínica Felippe Mattoso, Avenida das Américas, Barra da Tijuca, Rio de Janeiro - RJ, 22631-390, Brazil",,,Não
World Free,"World Free, Avenida das Américas 5150, Barra da Tijuca, Rio de Janeiro - RJ, 22640-102, Brazil",,,Não
Care Body & Soul,"Care Body & Soul, Rua Barão de Jaguaripe, Ipanema, Rio de Janeiro - RJ, 22410-002, Brazil",,,Não
Bella Ilha,"Bella Ilha, Alameda das Palmeiras, Barra da Tijuca, Rio de Janeiro - RJ, 22640-352, Brazil",,,Não
Centro Médico BarraShopping II,"Centro Médico BarraShopping II, Avenida das Américas 4666, Barra da Tijuca, Rio de Janeiro - RJ, 22640-120, Brazil",,,Não
"Quem Disse, Berenice?","Quem Disse, Berenice?, Avenida Engenheiro Carlos Carvalho 1300, Barra Olímpica, Rio de Janeiro - RJ, 22775-040, Brazil",,,Não
Ronaldo Pontes,"Ronaldo Pontes, Rua Aníbal de Mendonça, Ipanema, Rio de Janeiro - RJ, 22410-050, Brazil",,,Não
